"Date" "Value"
"236" 2014-10-15 0
"237" 2014-10-16 0
"238" 2014-10-17 30
"239" 2014-10-18 0
"240" 2014-10-19 13
"241" 2014-10-20 0
"242" 2014-10-21 0
"243" 2014-10-22 0
"244" 2014-10-23 3
"245" 2014-10-24 0
"246" 2014-10-25 0
"247" 2014-10-26 40
"248" 2014-10-27 4
"249" 2014-10-28 0
"250" 2014-10-29 0
"251" 2014-10-30 36
"252" 2014-10-31 0
"253" 2014-11-01 0
"254" 2014-11-02 0
"255" 2014-11-03 0
"256" 2014-11-04 0
"257" 2014-11-05 7
"258" 2014-11-06 0
"259" 2014-11-07 0
"260" 2014-11-08 0
"261" 2014-11-09 12
"262" 2014-11-10 0
"263" 2014-11-11 24
"264" 2014-11-12 0
"265" 2014-11-13 0
"266" 2014-11-14 0
"267" 2014-11-15 0
"268" 2014-11-16 0
"269" 2014-11-17 70
"270" 2014-11-18 6
"271" 2014-11-19 0
"272" 2014-11-20 0
"273" 2014-11-21 0
"274" 2014-11-22 0
"275" 2014-11-23 0
"276" 2014-11-24 0
"277" 2014-11-25 0
"278" 2014-11-26 0
"279" 2014-11-27 0
"280" 2014-11-28 0
"281" 2014-11-29 0
"282" 2014-11-30 0
"283" 2014-12-01 7
"284" 2014-12-02 0
"285" 2014-12-03 0
"286" 2014-12-04 8
"287" 2014-12-05 10
"288" 2014-12-06 0
"289" 2014-12-07 0
"290" 2014-12-08 38
"291" 2014-12-09 0
"292" 2014-12-10 70
"293" 2014-12-11 20
"294" 2014-12-12 0
"295" 2014-12-13 0
"296" 2014-12-14 0
"297" 2014-12-15 160
"298" 2014-12-16 0
"299" 2014-12-17 0
"300" 2014-12-18 0
"301" 2014-12-19 NA
"302" 2014-12-20 NA
"303" 2014-12-21 NA
"304" 2014-12-22 NA
"305" 2014-12-23 NA
"306" 2014-12-24 NA
"307" 2014-12-25 NA
"308" 2014-12-26 NA
"309" 2014-12-27 NA
"310" 2014-12-28 NA
"311" 2014-12-29 0
"312" 2014-12-30 0
"313" 2014-12-31 0
"314" 2015-01-01 0
"315" 2015-01-02 0
"316" 2015-01-03 0
"317" 2015-01-04 0
"318" 2015-01-05 0
"319" 2015-01-06 0
"320" 2015-01-07 0
"321" 2015-01-08 0
"322" 2015-01-09 0
"323" 2015-01-10 0
"324" 2015-01-11 0
"325" 2015-01-12 0
"326" 2015-01-13 0
"327" 2015-01-14 0
"328" 2015-01-15 0
"329" 2015-01-16 0
