"Date" "Value"
"230" 2015-09-07 NA
"231" 2015-09-08 NA
"232" 2015-09-09 NA
"233" 2015-09-10 NA
"234" 2015-09-11 NA
"235" 2015-09-12 NA
"236" 2015-09-13 NA
"237" 2015-09-14 NA
"238" 2015-09-15 NA
"239" 2015-09-16 NA
"240" 2015-09-17 NA
"241" 2015-09-18 NA
"242" 2015-09-19 NA
"243" 2015-09-20 NA
"244" 2015-09-21 NA
"245" 2015-09-22 NA
"246" 2015-09-23 NA
"247" 2015-09-24 NA
"248" 2015-09-25 NA
"249" 2015-09-26 NA
"250" 2015-09-27 NA
"251" 2015-09-28 NA
"252" 2015-09-29 NA
"253" 2015-09-30 NA
"254" 2015-10-01 NA
"255" 2015-10-02 NA
"256" 2015-10-03 NA
"257" 2015-10-04 NA
"258" 2015-10-05 NA
"259" 2015-10-06 NA
"260" 2015-10-07 NA
"261" 2015-10-08 NA
"262" 2015-10-09 NA
"263" 2015-10-10 NA
"264" 2015-10-11 NA
"265" 2015-10-12 NA
"266" 2015-10-13 NA
"267" 2015-10-14 NA
"268" 2015-10-15 NA
"269" 2015-10-16 NA
"270" 2015-10-17 NA
"271" 2015-10-18 NA
"272" 2015-10-19 NA
"273" 2015-10-20 NA
"274" 2015-10-21 NA
"275" 2015-10-22 NA
"276" 2015-10-23 NA
"277" 2015-10-24 NA
"278" 2015-10-25 NA
"279" 2015-10-26 NA
"280" 2015-10-27 NA
"281" 2015-10-28 NA
"282" 2015-10-29 NA
"283" 2015-10-30 NA
"284" 2015-10-31 NA
"285" 2015-11-01 NA
"286" 2015-11-02 NA
"287" 2015-11-03 NA
"288" 2015-11-04 NA
"289" 2015-11-05 NA
"290" 2015-11-06 NA
"291" 2015-11-07 NA
"292" 2015-11-08 NA
"293" 2015-11-09 NA
"294" 2015-11-10 NA
"295" 2015-11-11 NA
"296" 2015-11-12 NA
"297" 2015-11-13 NA
"298" 2015-11-14 NA
"299" 2015-11-15 NA
"300" 2015-11-16 NA
"301" 2015-11-17 NA
"302" 2015-11-18 NA
"303" 2015-11-19 NA
"304" 2015-11-20 NA
"305" 2015-11-21 NA
"306" 2015-11-22 NA
"307" 2015-11-23 NA
"308" 2015-11-24 NA
"309" 2015-11-25 NA
"310" 2015-11-26 NA
"311" 2015-11-27 NA
"312" 2015-11-28 NA
"313" 2015-11-29 NA
"314" 2015-11-30 NA
"315" 2015-12-01 NA
"316" 2015-12-02 NA
"317" 2015-12-03 NA
"318" 2015-12-04 NA
"319" 2015-12-05 NA
"320" 2015-12-06 NA
"321" 2015-12-07 NA
"322" 2015-12-08 NA
"323" 2015-12-09 NA
"324" 2015-12-10 NA
"325" 2015-12-11 NA
"326" 2015-12-12 NA
"327" 2015-12-13 NA
"328" 2015-12-14 NA
"329" 2015-12-15 NA
"330" 2015-12-16 NA
"331" 2015-12-17 NA
"332" 2015-12-18 NA
"333" 2015-12-19 NA
"334" 2015-12-20 NA
"335" 2015-12-21 NA
"336" 2015-12-22 NA
"337" 2015-12-23 NA
"338" 2015-12-24 NA
"339" 2015-12-25 NA
"340" 2015-12-26 NA
"341" 2015-12-27 NA
"342" 2015-12-28 NA
"343" 2015-12-29 NA
"344" 2015-12-30 NA
"345" 2015-12-31 NA
"346" 2016-01-01 NA
"347" 2016-01-02 NA
"348" 2016-01-03 NA
"349" 2016-01-04 NA
"350" 2016-01-05 NA
"351" 2016-01-06 NA
"352" 2016-01-07 NA
"353" 2016-01-08 NA
"354" 2016-01-09 NA
"355" 2016-01-10 NA
"356" 2016-01-11 NA
"357" 2016-01-12 NA
"358" 2016-01-13 NA
"359" 2016-01-14 NA
"360" 2016-01-15 NA
"361" 2016-01-16 NA
"362" 2016-01-17 NA
"363" 2016-01-18 NA
"364" 2016-01-19 NA
"365" 2016-01-20 NA
"366" 2016-01-21 NA
"367" 2016-01-22 NA
"368" 2016-01-23 NA
"369" 2016-01-24 NA
"370" 2016-01-25 NA
"371" 2016-01-26 NA
"372" 2016-01-27 NA
"373" 2016-01-28 NA
"374" 2016-01-29 NA
"375" 2016-01-30 NA
"376" 2016-01-31 NA
"377" 2016-02-01 NA
"378" 2016-02-02 NA
"379" 2016-02-03 NA
"380" 2016-02-04 NA
"381" 2016-02-05 NA
"382" 2016-02-06 NA
"383" 2016-02-07 NA
"384" 2016-02-08 NA
"385" 2016-02-09 NA
"386" 2016-02-10 NA
"387" 2016-02-11 NA
"388" 2016-02-12 NA
"389" 2016-02-13 NA
"390" 2016-02-14 NA
"391" 2016-02-15 NA
"392" 2016-02-16 NA
"393" 2016-02-17 NA
"394" 2016-02-18 NA
"395" 2016-02-19 NA
"396" 2016-02-20 NA
"397" 2016-02-21 NA
"398" 2016-02-22 NA
"399" 2016-02-23 NA
"400" 2016-02-24 NA
"401" 2016-02-25 NA
"402" 2016-02-26 NA
"403" 2016-02-27 NA
"404" 2016-02-28 NA
"405" 2016-02-29 NA
"406" 2016-03-01 NA
"407" 2016-03-02 NA
"408" 2016-03-03 NA
"409" 2016-03-04 NA
"410" 2016-03-05 NA
"411" 2016-03-06 NA
"412" 2016-03-07 NA
"413" 2016-03-08 NA
"414" 2016-03-09 NA
"415" 2016-03-10 NA
"416" 2016-03-11 NA
"417" 2016-03-12 NA
"418" 2016-03-13 NA
"419" 2016-03-14 NA
"420" 2016-03-15 NA
"421" 2016-03-16 NA
"422" 2016-03-17 NA
"423" 2016-03-18 NA
"424" 2016-03-19 NA
"425" 2016-03-20 NA
"426" 2016-03-21 NA
"427" 2016-03-22 NA
"428" 2016-03-23 NA
"429" 2016-03-24 NA
"430" 2016-03-25 NA
"431" 2016-03-26 NA
"432" 2016-03-27 NA
"433" 2016-03-28 NA
"434" 2016-03-29 NA
"435" 2016-03-30 NA
"436" 2016-03-31 NA
"437" 2016-04-01 NA
"438" 2016-04-02 NA
"439" 2016-04-03 NA
"440" 2016-04-04 NA
"441" 2016-04-05 NA
"442" 2016-04-06 NA
"443" 2016-04-07 NA
"444" 2016-04-08 NA
"445" 2016-04-09 NA
"446" 2016-04-10 NA
"447" 2016-04-11 NA
"448" 2016-04-12 NA
"449" 2016-04-13 NA
"450" 2016-04-14 NA
"451" 2016-04-15 NA
"452" 2016-04-16 NA
"453" 2016-04-17 NA
"454" 2016-04-18 NA
"455" 2016-04-19 NA
"456" 2016-04-20 NA
"457" 2016-04-21 NA
"458" 2016-04-22 NA
"459" 2016-04-23 NA
"460" 2016-04-24 NA
"461" 2016-04-25 NA
"462" 2016-04-26 NA
"463" 2016-04-27 NA
"464" 2016-04-28 NA
"465" 2016-04-29 NA
"466" 2016-04-30 NA
"467" 2016-05-01 NA
"468" 2016-05-02 NA
"469" 2016-05-03 NA
"470" 2016-05-04 NA
"471" 2016-05-05 NA
"472" 2016-05-06 NA
"473" 2016-05-07 NA
"474" 2016-05-08 NA
"475" 2016-05-09 NA
"476" 2016-05-10 NA
"477" 2016-05-11 NA
"478" 2016-05-12 NA
"479" 2016-05-13 NA
"480" 2016-05-14 NA
"481" 2016-05-15 NA
"482" 2016-05-16 NA
"483" 2016-05-17 NA
"484" 2016-05-18 NA
"485" 2016-05-19 NA
"486" 2016-05-20 NA
"487" 2016-05-21 NA
"488" 2016-05-22 NA
"489" 2016-05-23 NA
"490" 2016-05-24 NA
"491" 2016-05-25 NA
"492" 2016-05-26 NA
"493" 2016-05-27 NA
"494" 2016-05-28 NA
"495" 2016-05-29 NA
"496" 2016-05-30 NA
"497" 2016-05-31 NA
"498" 2016-06-01 NA
"499" 2016-06-02 NA
"500" 2016-06-03 NA
"501" 2016-06-04 NA
"502" 2016-06-05 NA
"503" 2016-06-06 NA
"504" 2016-06-07 NA
"505" 2016-06-08 NA
"506" 2016-06-09 NA
"507" 2016-06-10 NA
"508" 2016-06-11 NA
"509" 2016-06-12 NA
"510" 2016-06-13 NA
"511" 2016-06-14 NA
"512" 2016-06-15 NA
"513" 2016-06-16 NA
"514" 2016-06-17 NA
"515" 2016-06-18 NA
"516" 2016-06-19 NA
"517" 2016-06-20 NA
"518" 2016-06-21 NA
"519" 2016-06-22 NA
"520" 2016-06-23 NA
"521" 2016-06-24 NA
"522" 2016-06-25 NA
"523" 2016-06-26 NA
"524" 2016-06-27 NA
"525" 2016-06-28 NA
"526" 2016-06-29 NA
"527" 2016-06-30 NA
"528" 2016-07-01 NA
"529" 2016-07-02 NA
"530" 2016-07-03 NA
"531" 2016-07-04 NA
"532" 2016-07-05 NA
"533" 2016-07-06 NA
"534" 2016-07-07 NA
"535" 2016-07-08 NA
"536" 2016-07-09 NA
"537" 2016-07-10 NA
"538" 2016-07-11 NA
"539" 2016-07-12 NA
"540" 2016-07-13 NA
"541" 2016-07-14 NA
"542" 2016-07-15 NA
"543" 2016-07-16 NA
"544" 2016-07-17 NA
"545" 2016-07-18 NA
"546" 2016-07-19 NA
"547" 2016-07-20 NA
"548" 2016-07-21 NA
"549" 2016-07-22 NA
"550" 2016-07-23 NA
"551" 2016-07-24 NA
"552" 2016-07-25 NA
"553" 2016-07-26 NA
"554" 2016-07-27 NA
"555" 2016-07-28 NA
"556" 2016-07-29 NA
"557" 2016-07-30 NA
"558" 2016-07-31 NA
"559" 2016-08-01 NA
"560" 2016-08-02 NA
"561" 2016-08-03 NA
"562" 2016-08-04 NA
"563" 2016-08-05 NA
"564" 2016-08-06 NA
"565" 2016-08-07 NA
"566" 2016-08-08 NA
"567" 2016-08-09 NA
"568" 2016-08-10 NA
"569" 2016-08-11 NA
"570" 2016-08-12 NA
"571" 2016-08-13 NA
"572" 2016-08-14 NA
"573" 2016-08-15 NA
"574" 2016-08-16 NA
"575" 2016-08-17 NA
"576" 2016-08-18 NA
"577" 2016-08-19 NA
"578" 2016-08-20 NA
"579" 2016-08-21 NA
"580" 2016-08-22 NA
"581" 2016-08-23 NA
"582" 2016-08-24 NA
"583" 2016-08-25 NA
"584" 2016-08-26 NA
"585" 2016-08-27 NA
"586" 2016-08-28 NA
"587" 2016-08-29 NA
"588" 2016-08-30 NA
"589" 2016-08-31 NA
"590" 2016-09-01 NA
"591" 2016-09-02 NA
"592" 2016-09-03 NA
"593" 2016-09-04 NA
"594" 2016-09-05 NA
"595" 2016-09-06 NA
"596" 2016-09-07 NA
"597" 2016-09-08 NA
"598" 2016-09-09 NA
"599" 2016-09-10 NA
"600" 2016-09-11 NA
"601" 2016-09-12 NA
"602" 2016-09-13 NA
"603" 2016-09-14 NA
"604" 2016-09-15 NA
"605" 2016-09-16 NA
"606" 2016-09-17 NA
"607" 2016-09-18 NA
"608" 2016-09-19 NA
"609" 2016-09-20 NA
"610" 2016-09-21 NA
"611" 2016-09-22 NA
"612" 2016-09-23 NA
"613" 2016-09-24 NA
"614" 2016-09-25 NA
"615" 2016-09-26 NA
"616" 2016-09-27 NA
"617" 2016-09-28 NA
"618" 2016-09-29 NA
"619" 2016-09-30 NA
"620" 2016-10-01 NA
"621" 2016-10-02 NA
"622" 2016-10-03 NA
"623" 2016-10-04 NA
"624" 2016-10-05 NA
"625" 2016-10-06 NA
"626" 2016-10-07 NA
