"Date" "Value"
"229" 2013-09-09 NA
"230" 2013-09-10 NA
"231" 2013-09-11 NA
"232" 2013-09-12 NA
"233" 2013-09-13 NA
"234" 2013-09-14 NA
"235" 2013-09-15 NA
"236" 2013-09-16 NA
"237" 2013-09-17 NA
"238" 2013-09-18 NA
"239" 2013-09-19 NA
"240" 2013-09-20 NA
"241" 2013-09-21 NA
"242" 2013-09-22 NA
"243" 2013-09-23 NA
"244" 2013-09-24 NA
"245" 2013-09-25 NA
"246" 2013-09-26 NA
"247" 2013-09-27 NA
"248" 2013-09-28 NA
"249" 2013-09-29 NA
"250" 2013-09-30 NA
"251" 2013-10-01 NA
"252" 2013-10-02 NA
"253" 2013-10-03 NA
"254" 2013-10-04 NA
"255" 2013-10-05 NA
"256" 2013-10-06 NA
"257" 2013-10-07 NA
"258" 2013-10-08 NA
"259" 2013-10-09 NA
"260" 2013-10-10 NA
"261" 2013-10-11 NA
"262" 2013-10-12 NA
"263" 2013-10-13 NA
"264" 2013-10-14 NA
"265" 2013-10-15 NA
"266" 2013-10-16 NA
"267" 2013-10-17 NA
"268" 2013-10-18 NA
"269" 2013-10-19 NA
"270" 2013-10-20 NA
"271" 2013-10-21 NA
"272" 2013-10-22 NA
"273" 2013-10-23 NA
"274" 2013-10-24 NA
"275" 2013-10-25 NA
"276" 2013-10-26 NA
"277" 2013-10-27 NA
"278" 2013-10-28 NA
"279" 2013-10-29 NA
"280" 2013-10-30 NA
"281" 2013-10-31 NA
"282" 2013-11-01 NA
"283" 2013-11-02 NA
"284" 2013-11-03 NA
"285" 2013-11-04 NA
"286" 2013-11-05 NA
"287" 2013-11-06 NA
"288" 2013-11-07 NA
"289" 2013-11-08 NA
"290" 2013-11-09 NA
"291" 2013-11-10 NA
"292" 2013-11-11 NA
"293" 2013-11-12 NA
"294" 2013-11-13 NA
"295" 2013-11-14 NA
"296" 2013-11-15 NA
"297" 2013-11-16 NA
"298" 2013-11-17 NA
"299" 2013-11-18 NA
"300" 2013-11-19 NA
"301" 2013-11-20 NA
"302" 2013-11-21 NA
"303" 2013-11-22 NA
"304" 2013-11-23 NA
"305" 2013-11-24 NA
"306" 2013-11-25 NA
"307" 2013-11-26 NA
"308" 2013-11-27 NA
"309" 2013-11-28 NA
"310" 2013-11-29 NA
"311" 2013-11-30 NA
"312" 2013-12-01 NA
"313" 2013-12-02 NA
"314" 2013-12-03 NA
"315" 2013-12-04 NA
"316" 2013-12-05 NA
"317" 2013-12-06 NA
"318" 2013-12-07 NA
"319" 2013-12-08 NA
"320" 2013-12-09 NA
"321" 2013-12-10 NA
"322" 2013-12-11 NA
"323" 2013-12-12 NA
"324" 2013-12-13 NA
"325" 2013-12-14 NA
"326" 2013-12-15 NA
"327" 2013-12-16 NA
