"Date" "Value"
"229" 2010-12-28 NA
"230" 2010-12-29 NA
"231" 2010-12-30 NA
"232" 2010-12-31 NA
"233" 2011-01-01 NA
"234" 2011-01-02 NA
"235" 2011-01-03 NA
"236" 2011-01-04 NA
"237" 2011-01-05 NA
"238" 2011-01-06 NA
"239" 2011-01-07 NA
"240" 2011-01-08 NA
"241" 2011-01-09 NA
"242" 2011-01-10 NA
"243" 2011-01-11 NA
"244" 2011-01-12 NA
"245" 2011-01-13 NA
"246" 2011-01-14 NA
"247" 2011-01-15 NA
"248" 2011-01-16 NA
"249" 2011-01-17 NA
"250" 2011-01-18 NA
"251" 2011-01-19 NA
"252" 2011-01-20 NA
"253" 2011-01-21 NA
"254" 2011-01-22 NA
"255" 2011-01-23 NA
"256" 2011-01-24 NA
"257" 2011-01-25 NA
"258" 2011-01-26 NA
"259" 2011-01-27 NA
"260" 2011-01-28 NA
"261" 2011-01-29 NA
"262" 2011-01-30 NA
"263" 2011-01-31 NA
"264" 2011-02-01 NA
"265" 2011-02-02 NA
"266" 2011-02-03 NA
"267" 2011-02-04 NA
"268" 2011-02-05 NA
"269" 2011-02-06 NA
"270" 2011-02-07 NA
"271" 2011-02-08 NA
"272" 2011-02-09 NA
"273" 2011-02-10 NA
"274" 2011-02-11 NA
"275" 2011-02-12 NA
"276" 2011-02-13 NA
"277" 2011-02-14 NA
"278" 2011-02-15 NA
"279" 2011-02-16 NA
"280" 2011-02-17 NA
"281" 2011-02-18 NA
"282" 2011-02-19 NA
"283" 2011-02-20 NA
"284" 2011-02-21 NA
"285" 2011-02-22 NA
"286" 2011-02-23 NA
"287" 2011-02-24 NA
"288" 2011-02-25 NA
"289" 2011-02-26 NA
"290" 2011-02-27 NA
"291" 2011-02-28 NA
"292" 2011-03-01 NA
"293" 2011-03-02 NA
"294" 2011-03-03 NA
"295" 2011-03-04 NA
"296" 2011-03-05 NA
"297" 2011-03-06 NA
"298" 2011-03-07 NA
"299" 2011-03-08 NA
"300" 2011-03-09 NA
"301" 2011-03-10 NA
"302" 2011-03-11 NA
"303" 2011-03-12 NA
"304" 2011-03-13 NA
"305" 2011-03-14 NA
"306" 2011-03-15 NA
"307" 2011-03-16 NA
"308" 2011-03-17 NA
"309" 2011-03-18 NA
"310" 2011-03-19 NA
"311" 2011-03-20 NA
"312" 2011-03-21 NA
"313" 2011-03-22 NA
"314" 2011-03-23 NA
"315" 2011-03-24 NA
"316" 2011-03-25 NA
"317" 2011-03-26 NA
"318" 2011-03-27 NA
"319" 2011-03-28 NA
"320" 2011-03-29 NA
"321" 2011-03-30 NA
"322" 2011-03-31 NA
"323" 2011-04-01 NA
"324" 2011-04-02 NA
"325" 2011-04-03 NA
"326" 2011-04-04 NA
"327" 2011-04-05 NA
"328" 2011-04-06 NA
"329" 2011-04-07 NA
"330" 2011-04-08 NA
"331" 2011-04-09 NA
"332" 2011-04-10 NA
"333" 2011-04-11 NA
"334" 2011-04-12 NA
"335" 2011-04-13 NA
"336" 2011-04-14 NA
"337" 2011-04-15 NA
"338" 2011-04-16 NA
"339" 2011-04-17 NA
"340" 2011-04-18 NA
"341" 2011-04-19 NA
"342" 2011-04-20 NA
"343" 2011-04-21 NA
"344" 2011-04-22 NA
"345" 2011-04-23 NA
"346" 2011-04-24 NA
"347" 2011-04-25 NA
"348" 2011-04-26 NA
"349" 2011-04-27 NA
"350" 2011-04-28 NA
"351" 2011-04-29 NA
"352" 2011-04-30 NA
"353" 2011-05-01 NA
"354" 2011-05-02 NA
"355" 2011-05-03 NA
"356" 2011-05-04 NA
"357" 2011-05-05 NA
"358" 2011-05-06 NA
"359" 2011-05-07 NA
"360" 2011-05-08 NA
"361" 2011-05-09 NA
"362" 2011-05-10 NA
"363" 2011-05-11 NA
"364" 2011-05-12 NA
"365" 2011-05-13 NA
"366" 2011-05-14 NA
"367" 2011-05-15 NA
"368" 2011-05-16 NA
"369" 2011-05-17 NA
"370" 2011-05-18 NA
"371" 2011-05-19 NA
"372" 2011-05-20 NA
"373" 2011-05-21 NA
"374" 2011-05-22 NA
"375" 2011-05-23 NA
"376" 2011-05-24 NA
"377" 2011-05-25 NA
"378" 2011-05-26 NA
"379" 2011-05-27 NA
"380" 2011-05-28 NA
"381" 2011-05-29 NA
"382" 2011-05-30 NA
"383" 2011-05-31 NA
"384" 2011-06-01 NA
"385" 2011-06-02 NA
"386" 2011-06-03 NA
"387" 2011-06-04 NA
"388" 2011-06-05 NA
"389" 2011-06-06 NA
"390" 2011-06-07 NA
"391" 2011-06-08 NA
"392" 2011-06-09 NA
"393" 2011-06-10 NA
