"Date" "Value"
"308" 2012-11-05 NA
"309" 2012-11-06 NA
"310" 2012-11-07 NA
"311" 2012-11-08 NA
"312" 2012-11-09 NA
"313" 2012-11-10 NA
"314" 2012-11-11 NA
"315" 2012-11-12 NA
"316" 2012-11-13 NA
"317" 2012-11-14 NA
"318" 2012-11-15 NA
"319" 2012-11-16 NA
"320" 2012-11-17 15
"321" 2012-11-18 NA
"322" 2012-11-19 NA
"323" 2012-11-20 NA
"324" 2012-11-21 NA
"325" 2012-11-22 NA
"326" 2012-11-23 NA
"327" 2012-11-24 NA
"328" 2012-11-25 NA
"329" 2012-11-26 NA
"330" 2012-11-27 NA
"331" 2012-11-28 NA
"332" 2012-11-29 NA
"333" 2012-11-30 NA
"334" 2012-12-01 NA
"335" 2012-12-02 NA
"336" 2012-12-03 NA
"337" 2012-12-04 NA
"338" 2012-12-05 NA
"339" 2012-12-06 NA
"340" 2012-12-07 NA
"341" 2012-12-08 NA
"342" 2012-12-09 NA
"343" 2012-12-10 NA
"344" 2012-12-11 NA
"345" 2012-12-12 NA
"346" 2012-12-13 NA
"347" 2012-12-14 NA
"348" 2012-12-15 NA
"349" 2012-12-16 NA
"350" 2012-12-17 NA
"351" 2012-12-18 NA
"352" 2012-12-19 NA
"353" 2012-12-20 NA
"354" 2012-12-21 NA
"355" 2012-12-22 NA
"356" 2012-12-23 NA
"357" 2012-12-24 NA
"358" 2012-12-25 NA
"359" 2012-12-26 NA
"360" 2012-12-27 NA
"361" 2012-12-28 NA
"362" 2012-12-29 NA
"363" 2012-12-30 NA
"364" 2012-12-31 NA
"365" 2013-01-01 NA
"366" 2013-01-02 NA
"367" 2013-01-03 NA
"368" 2013-01-04 NA
"369" 2013-01-05 NA
"370" 2013-01-06 NA
"371" 2013-01-07 NA
"372" 2013-01-08 NA
"373" 2013-01-09 NA
"374" 2013-01-10 NA
"375" 2013-01-11 NA
"376" 2013-01-12 NA
"377" 2013-01-13 NA
"378" 2013-01-14 NA
"379" 2013-01-15 NA
"380" 2013-01-16 NA
"381" 2013-01-17 NA
"382" 2013-01-18 NA
"383" 2013-01-19 NA
"384" 2013-01-20 NA
"385" 2013-01-21 NA
"386" 2013-01-22 NA
"387" 2013-01-23 NA
"388" 2013-01-24 NA
"389" 2013-01-25 NA
"390" 2013-01-26 NA
"391" 2013-01-27 NA
"392" 2013-01-28 NA
"393" 2013-01-29 NA
"394" 2013-01-30 NA
"395" 2013-01-31 NA
"396" 2013-02-01 NA
"397" 2013-02-02 NA
"398" 2013-02-03 NA
"399" 2013-02-04 NA
"400" 2013-02-05 NA
"401" 2013-02-06 NA
"402" 2013-02-07 NA
"403" 2013-02-08 NA
"404" 2013-02-09 NA
"405" 2013-02-10 NA
"406" 2013-02-11 NA
"407" 2013-02-12 NA
"408" 2013-02-13 NA
"409" 2013-02-14 NA
"410" 2013-02-15 NA
"411" 2013-02-16 NA
"412" 2013-02-17 NA
"413" 2013-02-18 NA
"414" 2013-02-19 NA
"415" 2013-02-20 NA
"416" 2013-02-21 NA
"417" 2013-02-22 NA
"418" 2013-02-23 NA
"419" 2013-02-24 NA
"420" 2013-02-25 NA
"421" 2013-02-26 NA
"422" 2013-02-27 NA
"423" 2013-02-28 NA
"424" 2013-03-01 NA
