"Date" "Value"
"229" 2010-09-03 NA
"230" 2010-09-04 NA
"231" 2010-09-05 NA
"232" 2010-09-06 NA
"233" 2010-09-07 NA
"234" 2010-09-08 NA
"235" 2010-09-09 NA
"236" 2010-09-10 NA
"237" 2010-09-11 NA
"238" 2010-09-12 NA
"239" 2010-09-13 NA
"240" 2010-09-14 NA
"241" 2010-09-15 NA
"242" 2010-09-16 NA
"243" 2010-09-17 NA
"244" 2010-09-18 NA
"245" 2010-09-19 NA
"246" 2010-09-20 NA
"247" 2010-09-21 NA
"248" 2010-09-22 NA
"249" 2010-09-23 NA
"250" 2010-09-24 NA
"251" 2010-09-25 NA
"252" 2010-09-26 NA
"253" 2010-09-27 NA
"254" 2010-09-28 NA
"255" 2010-09-29 NA
"256" 2010-09-30 NA
"257" 2010-10-01 NA
"258" 2010-10-02 NA
"259" 2010-10-03 NA
"260" 2010-10-04 NA
"261" 2010-10-05 NA
"262" 2010-10-06 NA
"263" 2010-10-07 NA
"264" 2010-10-08 NA
"265" 2010-10-09 NA
"266" 2010-10-10 NA
"267" 2010-10-11 NA
"268" 2010-10-12 NA
"269" 2010-10-13 NA
"270" 2010-10-14 NA
"271" 2010-10-15 NA
"272" 2010-10-16 NA
"273" 2010-10-17 NA
"274" 2010-10-18 NA
"275" 2010-10-19 NA
"276" 2010-10-20 NA
"277" 2010-10-21 NA
"278" 2010-10-22 NA
"279" 2010-10-23 NA
"280" 2010-10-24 NA
"281" 2010-10-25 NA
"282" 2010-10-26 NA
"283" 2010-10-27 NA
"284" 2010-10-28 NA
"285" 2010-10-29 NA
"286" 2010-10-30 NA
"287" 2010-10-31 NA
"288" 2010-11-01 NA
"289" 2010-11-02 NA
"290" 2010-11-03 NA
"291" 2010-11-04 NA
"292" 2010-11-05 NA
"293" 2010-11-06 NA
"294" 2010-11-07 NA
"295" 2010-11-08 NA
"296" 2010-11-09 NA
"297" 2010-11-10 NA
"298" 2010-11-11 NA
"299" 2010-11-12 NA
"300" 2010-11-13 NA
"301" 2010-11-14 NA
"302" 2010-11-15 NA
"303" 2010-11-16 NA
"304" 2010-11-17 NA
"305" 2010-11-18 NA
"306" 2010-11-19 NA
"307" 2010-11-20 NA
"308" 2010-11-21 NA
"309" 2010-11-22 NA
"310" 2010-11-23 NA
"311" 2010-11-24 NA
"312" 2010-11-25 NA
"313" 2010-11-26 NA
"314" 2010-11-27 NA
"315" 2010-11-28 NA
"316" 2010-11-29 NA
"317" 2010-11-30 NA
"318" 2010-12-01 NA
"319" 2010-12-02 NA
"320" 2010-12-03 NA
"321" 2010-12-04 NA
"322" 2010-12-05 NA
"323" 2010-12-06 NA
"324" 2010-12-07 NA
"325" 2010-12-08 NA
"326" 2010-12-09 NA
"327" 2010-12-10 NA
"328" 2010-12-11 NA
"329" 2010-12-12 NA
"330" 2010-12-13 NA
"331" 2010-12-14 NA
"332" 2010-12-15 NA
"333" 2010-12-16 NA
"334" 2010-12-17 NA
"335" 2010-12-18 NA
"336" 2010-12-19 NA
"337" 2010-12-20 NA
"338" 2010-12-21 NA
"339" 2010-12-22 NA
"340" 2010-12-23 NA
"341" 2010-12-24 NA
"342" 2010-12-25 NA
"343" 2010-12-26 NA
"344" 2010-12-27 NA
"345" 2010-12-28 NA
"346" 2010-12-29 NA
"347" 2010-12-30 NA
"348" 2010-12-31 NA
"349" 2011-01-01 NA
"350" 2011-01-02 NA
"351" 2011-01-03 NA
"352" 2011-01-04 NA
"353" 2011-01-05 NA
"354" 2011-01-06 NA
"355" 2011-01-07 NA
"356" 2011-01-08 NA
"357" 2011-01-09 NA
"358" 2011-01-10 NA
"359" 2011-01-11 NA
"360" 2011-01-12 NA
"361" 2011-01-13 NA
"362" 2011-01-14 NA
"363" 2011-01-15 NA
"364" 2011-01-16 NA
"365" 2011-01-17 NA
"366" 2011-01-18 NA
"367" 2011-01-19 NA
"368" 2011-01-20 NA
"369" 2011-01-21 NA
"370" 2011-01-22 NA
"371" 2011-01-23 NA
"372" 2011-01-24 NA
"373" 2011-01-25 NA
"374" 2011-01-26 NA
"375" 2011-01-27 NA
"376" 2011-01-28 NA
"377" 2011-01-29 NA
"378" 2011-01-30 NA
"379" 2011-01-31 NA
"380" 2011-02-01 NA
"381" 2011-02-02 NA
"382" 2011-02-03 NA
"383" 2011-02-04 NA
"384" 2011-02-05 NA
"385" 2011-02-06 NA
"386" 2011-02-07 NA
"387" 2011-02-08 NA
"388" 2011-02-09 NA
"389" 2011-02-10 NA
"390" 2011-02-11 NA
"391" 2011-02-12 NA
"392" 2011-02-13 NA
"393" 2011-02-14 NA
"394" 2011-02-15 NA
"395" 2011-02-16 NA
"396" 2011-02-17 NA
"397" 2011-02-18 NA
"398" 2011-02-19 NA
"399" 2011-02-20 NA
"400" 2011-02-21 NA
"401" 2011-02-22 NA
"402" 2011-02-23 NA
"403" 2011-02-24 NA
"404" 2011-02-25 NA
"405" 2011-02-26 NA
"406" 2011-02-27 NA
"407" 2011-02-28 NA
"408" 2011-03-01 NA
"409" 2011-03-02 NA
"410" 2011-03-03 NA
"411" 2011-03-04 NA
"412" 2011-03-05 NA
"413" 2011-03-06 NA
"414" 2011-03-07 NA
"415" 2011-03-08 NA
"416" 2011-03-09 NA
"417" 2011-03-10 NA
"418" 2011-03-11 NA
"419" 2011-03-12 NA
"420" 2011-03-13 NA
"421" 2011-03-14 NA
"422" 2011-03-15 NA
"423" 2011-03-16 NA
"424" 2011-03-17 NA
"425" 2011-03-18 NA
"426" 2011-03-19 NA
"427" 2011-03-20 NA
"428" 2011-03-21 NA
"429" 2011-03-22 NA
"430" 2011-03-23 NA
"431" 2011-03-24 NA
"432" 2011-03-25 NA
"433" 2011-03-26 NA
"434" 2011-03-27 NA
"435" 2011-03-28 NA
"436" 2011-03-29 NA
"437" 2011-03-30 NA
"438" 2011-03-31 NA
"439" 2011-04-01 NA
"440" 2011-04-02 NA
"441" 2011-04-03 NA
"442" 2011-04-04 NA
"443" 2011-04-05 NA
"444" 2011-04-06 NA
"445" 2011-04-07 NA
"446" 2011-04-08 NA
"447" 2011-04-09 NA
"448" 2011-04-10 NA
"449" 2011-04-11 NA
"450" 2011-04-12 NA
"451" 2011-04-13 NA
"452" 2011-04-14 NA
"453" 2011-04-15 NA
"454" 2011-04-16 NA
"455" 2011-04-17 NA
"456" 2011-04-18 NA
"457" 2011-04-19 NA
"458" 2011-04-20 NA
"459" 2011-04-21 NA
"460" 2011-04-22 NA
"461" 2011-04-23 NA
"462" 2011-04-24 NA
"463" 2011-04-25 NA
"464" 2011-04-26 NA
"465" 2011-04-27 NA
"466" 2011-04-28 NA
"467" 2011-04-29 NA
"468" 2011-04-30 NA
"469" 2011-05-01 NA
"470" 2011-05-02 NA
"471" 2011-05-03 NA
"472" 2011-05-04 NA
"473" 2011-05-05 NA
"474" 2011-05-06 NA
"475" 2011-05-07 NA
