"Date" "Value"
"236" 2014-09-12 0
"237" 2014-09-13 0
"238" 2014-09-14 16
"239" 2014-09-15 0
"240" 2014-09-16 0
"241" 2014-09-17 103
"242" 2014-09-18 0
"243" 2014-09-19 15
"244" 2014-09-20 0
"245" 2014-09-21 0
"246" 2014-09-22 0
"247" 2014-09-23 7
"248" 2014-09-24 10
"249" 2014-09-25 7
"250" 2014-09-26 0
"251" 2014-09-27 7
"252" 2014-09-28 0
"253" 2014-09-29 0
"254" 2014-09-30 0
"255" 2014-10-01 0
"256" 2014-10-02 4
"257" 2014-10-03 0
"258" 2014-10-04 15
"259" 2014-10-05 16
"260" 2014-10-06 0
"261" 2014-10-07 4
"262" 2014-10-08 0
"263" 2014-10-09 5
"264" 2014-10-10 0
"265" 2014-10-11 0
"266" 2014-10-12 0
"267" 2014-10-13 0
"268" 2014-10-14 10
"269" 2014-10-15 0
"270" 2014-10-16 0
"271" 2014-10-17 16
"272" 2014-10-18 0
"273" 2014-10-19 0
"274" 2014-10-20 0
"275" 2014-10-21 0
"276" 2014-10-22 0
"277" 2014-10-23 12
"278" 2014-10-24 8
"279" 2014-10-25 0
"280" 2014-10-26 13
"281" 2014-10-27 0
"282" 2014-10-28 5
"283" 2014-10-29 3
"284" 2014-10-30 41
"285" 2014-10-31 5
"286" 2014-11-01 0
"287" 2014-11-02 0
"288" 2014-11-03 0
"289" 2014-11-04 0
"290" 2014-11-05 6
"291" 2014-11-06 0
"292" 2014-11-07 0
"293" 2014-11-08 11
"294" 2014-11-09 9
"295" 2014-11-10 2
"296" 2014-11-11 25
"297" 2014-11-12 7
"298" 2014-11-13 0
"299" 2014-11-14 0
"300" 2014-11-15 15
"301" 2014-11-16 0
"302" 2014-11-17 36
"303" 2014-11-18 4
"304" 2014-11-19 0
"305" 2014-11-20 0
"306" 2014-11-21 0
"307" 2014-11-22 0
"308" 2014-11-23 0
"309" 2014-11-24 0
"310" 2014-11-25 0
"311" 2014-11-26 0
"312" 2014-11-27 6
"313" 2014-11-28 0
"314" 2014-11-29 0
"315" 2014-11-30 0
"316" 2014-12-01 0
"317" 2014-12-02 0
"318" 2014-12-03 0
"319" 2014-12-04 6
"320" 2014-12-05 9
"321" 2014-12-06 0
"322" 2014-12-07 0
"323" 2014-12-08 15
"324" 2014-12-09 21
"325" 2014-12-10 30
"326" 2014-12-11 0
"327" 2014-12-12 80
"328" 2014-12-13 50
"329" 2014-12-14 0
"330" 2014-12-15 0
"331" 2014-12-16 0
"332" 2014-12-17 0
"333" 2014-12-18 0
"334" 2014-12-19 0
"335" 2014-12-20 10
"336" 2014-12-21 0
"337" 2014-12-22 0
"338" 2014-12-23 0
"339" 2014-12-24 0
"340" 2014-12-25 0
"341" 2014-12-26 0
"342" 2014-12-27 0
"343" 2014-12-28 0
"344" 2014-12-29 0
"345" 2014-12-30 0
"346" 2014-12-31 0
"347" 2015-01-01 0
"348" 2015-01-02 0
"349" 2015-01-03 0
"350" 2015-01-04 0
"351" 2015-01-05 0
"352" 2015-01-06 0
"353" 2015-01-07 0
"354" 2015-01-08 0
"355" 2015-01-09 0
"356" 2015-01-10 0
"357" 2015-01-11 0
"358" 2015-01-12 0
"359" 2015-01-13 0
"360" 2015-01-14 0
"361" 2015-01-15 0
"362" 2015-01-16 0
"363" 2015-01-17 0
"364" 2015-01-18 0
"365" 2015-01-19 0
"366" 2015-01-20 0
"367" 2015-01-21 60
"368" 2015-01-22 20
"369" 2015-01-23 5
"370" 2015-01-24 0
"371" 2015-01-25 0
"372" 2015-01-26 0
"373" 2015-01-27 0
"374" 2015-01-28 0
"375" 2015-01-29 0
"376" 2015-01-30 0
"377" 2015-01-31 0
"378" 2015-02-01 0
"379" 2015-02-02 0
"380" 2015-02-03 0
"381" 2015-02-04 0
"382" 2015-02-05 0
"383" 2015-02-06 0
"384" 2015-02-07 0
"385" 2015-02-08 0
"386" 2015-02-09 8
"387" 2015-02-10 0
"388" 2015-02-11 0
"389" 2015-02-12 0
"390" 2015-02-13 0
"391" 2015-02-14 0
"392" 2015-02-15 0
"393" 2015-02-16 0
"394" 2015-02-17 0
"395" 2015-02-18 0
"396" 2015-02-19 0
"397" 2015-02-20 0
"398" 2015-02-21 0
"399" 2015-02-22 0
"400" 2015-02-23 0
"401" 2015-02-24 0
"402" 2015-02-25 3
"403" 2015-02-26 2
"404" 2015-02-27 0
"405" 2015-02-28 0
"406" 2015-03-01 0
"407" 2015-03-02 2
"408" 2015-03-03 0
"409" 2015-03-04 0
"410" 2015-03-05 0
"411" 2015-03-06 0
"412" 2015-03-07 0
"413" 2015-03-08 0
"414" 2015-03-09 0
"415" 2015-03-10 1
"416" 2015-03-11 0
"417" 2015-03-12 0
"418" 2015-03-13 0
"419" 2015-03-14 0
"420" 2015-03-15 0
"421" 2015-03-16 0
"422" 2015-03-17 0
"423" 2015-03-18 0
"424" 2015-03-19 0
"425" 2015-03-20 0
"426" 2015-03-21 5
"427" 2015-03-22 0
"428" 2015-03-23 0
"429" 2015-03-24 0
"430" 2015-03-25 0
"431" 2015-03-26 2
"432" 2015-03-27 0
"433" 2015-03-28 0
"434" 2015-03-29 5
"435" 2015-03-30 0
"436" 2015-03-31 0
"437" 2015-04-01 0
"438" 2015-04-02 0
"439" 2015-04-03 0
"440" 2015-04-04 12
"441" 2015-04-05 0
"442" 2015-04-06 0
"443" 2015-04-07 0
"444" 2015-04-08 12
"445" 2015-04-09 0
"446" 2015-04-10 8
"447" 2015-04-11 0
"448" 2015-04-12 0
"449" 2015-04-13 0
"450" 2015-04-14 40
"451" 2015-04-15 49
"452" 2015-04-16 0
"453" 2015-04-17 15
"454" 2015-04-18 0
"455" 2015-04-19 5
"456" 2015-04-20 4
"457" 2015-04-21 0
"458" 2015-04-22 0
"459" 2015-04-23 0
"460" 2015-04-24 0
"461" 2015-04-25 21
"462" 2015-04-26 0
"463" 2015-04-27 0
"464" 2015-04-28 11
"465" 2015-04-29 0
"466" 2015-04-30 5
"467" 2015-05-01 0
"468" 2015-05-02 0
"469" 2015-05-03 0
"470" 2015-05-04 0
"471" 2015-05-05 3
"472" 2015-05-06 0
"473" 2015-05-07 0
"474" 2015-05-08 0
"475" 2015-05-09 0
"476" 2015-05-10 0
"477" 2015-05-11 0
"478" 2015-05-12 0
"479" 2015-05-13 0
"480" 2015-05-14 0
"481" 2015-05-15 20
"482" 2015-05-16 0
"483" 2015-05-17 54
"484" 2015-05-18 10
"485" 2015-05-19 0
"486" 2015-05-20 0
"487" 2015-05-21 52
"488" 2015-05-22 0
"489" 2015-05-23 0
"490" 2015-05-24 13
"491" 2015-05-25 57
"492" 2015-05-26 0
